transaction_id,timestamp,employee_id,customer_id,branch_id,category,amount,discount_percent,refund_amount,payment_method,is_anomaly,anomaly_type
TX-100000,2026-07-01 08:01:52,EMP-003,CUST-7924,BRANCH-WEST,Apparel,39.18,0.0,0.0,Credit Card,0,NONE
TX-100001,2026-07-01 08:02:32,EMP-002,CUST-2519,BRANCH-CENTRAL,Hardware,50.71,13.2,0.0,Cash,0,NONE
TX-100002,2026-07-01 08:02:52,EMP-008,CUST-9785,BRANCH-EAST,Groceries,76.39,0.0,0.0,Credit Card,0,NONE
TX-100003,2026-07-01 08:07:47,EMP-006,CUST-4150,BRANCH-WEST,Groceries,67.68,5.7,0.0,Cash,0,NONE
TX-100004,2026-07-01 08:08:07,EMP-004,CUST-2654,BRANCH-WEST,Hardware,39.94,0.0,0.0,Credit Card,0,NONE
TX-100005,2026-07-01 08:08:55,EMP-003,CUST-7065,BRANCH-WEST,Apparel,51.02,6.2,0.0,Cash,0,NONE
TX-100006,2026-07-01 08:10:22,EMP-003,CUST-9751,BRANCH-WEST,Electronics,19.95,7.6,0.0,Mobile Money,0,NONE
TX-100007,2026-07-01 08:11:44,EMP-006,CUST-1916,BRANCH-WEST,Electronics,65.88,0.0,0.0,Debit Card,0,NONE
TX-100008,2026-07-01 08:15:31,EMP-005,CUST-2084,BRANCH-CENTRAL,Electronics,36.54,0.0,0.0,Credit Card,0,NONE
TX-100009,2026-07-01 08:17:20,EMP-004,CUST-9179,BRANCH-WEST,Hardware,37.14,0.0,0.0,Mobile Money,0,NONE
TX-100010,2026-07-01 08:19:46,EMP-005,CUST-3287,BRANCH-CENTRAL,Electronics,33.38,0.0,0.0,Debit Card,0,NONE
TX-100011,2026-07-01 08:22:39,EMP-007,CUST-6930,BRANCH-WEST,Electronics,67.76,0.0,0.0,Debit Card,0,NONE
TX-100012,2026-07-01 08:26:14,EMP-002,CUST-1771,BRANCH-CENTRAL,Groceries,46.41,4.9,0.0,Cash,0,NONE
TX-100013,2026-07-01 08:26:58,EMP-007,CUST-7252,BRANCH-WEST,Services,41.06,0.0,0.0,Cash,0,NONE
TX-100014,2026-07-01 08:27:18,EMP-002,CUST-9797,BRANCH-CENTRAL,Apparel,33.53,0.0,0.0,Credit Card,0,NONE
TX-100015,2026-07-01 08:27:42,EMP-007,CUST-3591,BRANCH-WEST,Hardware,79.31,11.7,0.0,Mobile Money,0,NONE
TX-100016,2026-07-01 08:32:18,EMP-002,CUST-5889,BRANCH-CENTRAL,Services,27.74,0.0,0.0,Mobile Money,0,NONE
TX-100017,2026-07-01 08:35:02,EMP-001,CUST-6310,BRANCH-WEST,Hardware,36.68,14.1,0.0,Credit Card,0,NONE
TX-100018,2026-07-01 08:35:22,EMP-004,CUST-1949,BRANCH-WEST,Electronics,46.79,0.0,0.0,Cash,0,NONE
TX-100019,2026-07-01 08:39:42,EMP-008,CUST-2133,BRANCH-EAST,Services,80.28,0.0,0.0,Debit Card,0,NONE
TX-100020,2026-07-01 08:41:11,EMP-003,CUST-5342,BRANCH-WEST,Services,225.62,0.0,0.0,Mobile Money,0,NONE
TX-100021,2026-07-01 08:42:00,EMP-004,CUST-6107,BRANCH-WEST,Hardware,88.77,0.0,0.0,Debit Card,0,NONE
TX-100022,2026-07-01 08:55:58,EMP-008,CUST-2982,BRANCH-EAST,Electronics,74.34,7.1,0.0,Mobile Money,0,NONE
TX-100023,2026-07-01 09:06:09,EMP-004,CUST-1117,BRANCH-WEST,Groceries,77.14,0.0,0.0,Cash,0,NONE
TX-100024,2026-07-01 09:06:31,EMP-001,CUST-6413,BRANCH-WEST,Groceries,25.05,0.0,0.0,Debit Card,0,NONE
